id,tx_id,index,prev_gov_action_proposal,deposit,return_address,expiration,voting_anchor_id,type,description,param_proposal,ratified_epoch,enacted_epoch,dropped_epoch,expired_epoch,id,hash,block_id,block_index,out_sum,fee,deposit,size,invalid_before,invalid_hereafter,valid_contract,script_size,treasury_donation
5,98477975,0,,100000000000,4563516,526,695,ParameterChange,"{""tag"": ""ParameterChange"", ""contents"": [null, {""costModels"": {""PlutusV3"": [100788, 420, 1, 1, 1000, 173, 0, 1, 1000, 59957, 4, 1, 11183, 32, 201305, 8356, 4, 16000, 100, 16000, 100, 16000, 100, 16000, 100, 16000, 100, 16000, 100, 100, 100, 16000, 100, 94375, 32, 132994, 32, 61462, 4, 72010, 178, 0, 1, 22151, 32, 91189, 769, 4, 2, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 1, 1000, 42921, 4, 2, 24548, 29498, 38, 1, 898148, 27279, 1, 51775, 558, 1, 39184, 1000, 60594, 1, 141895, 32, 83150, 32, 15299, 32, 76049, 1, 13169, 4, 22100, 10, 28999, 74, 1, 28999, 74, 1, 43285, 552, 1, 44749, 541, 1, 33852, 32, 68246, 32, 72362, 32, 7243, 32, 7391, 32, 11546, 32, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 90434, 519, 0, 1, 74433, 32, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 1, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 955506, 213312, 0, 2, 270652, 22588, 4, 1457325, 64566, 4, 20467, 1, 4, 0, 141992, 32, 100788, 420, 1, 1, 81663, 32, 59498, 32, 20142, 32, 24588, 32, 20744, 32, 25933, 32, 24623, 32, 43053543, 10, 53384111, 14333, 10, 43574283, 26308, 10, 16000, 100, 16000, 100, 962335, 18, 2780678, 6, 442008, 1, 52538055, 3756, 18, 267929, 18, 76433006, 8868, 18, 52948122, 18, 1995836, 36, 3227919, 12, 901022, 1, 166917843, 4307, 36, 284546, 36, 158221314, 26549, 36, 74698472, 36, 333849714, 1, 254006273, 72, 2174038, 72, 2261318, 64571, 4, 207616, 8310, 4, 1293828, 28716, 63, 0, 1, 1006041, 43623, 251, 0, 1, 100181, 726, 719, 0, 1, 100181, 726, 719, 0, 1, 100181, 726, 719, 0, 1, 107878, 680, 0, 1, 95336, 1, 281145, 18848, 0, 1, 180194, 159, 1, 1, 158519, 8942, 0, 1, 159378, 8813, 0, 1, 107490, 3298, 1, 106057, 655, 1, 1964219, 24520, 3]}}, ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",401,525,526,,,98477975,\xb2a591ac219ce6dcca5847e0248015209c7cb0436aa6bd6863d0c1f152a60bc5,11059483,12,1277744,366804,100000000000,3594,,,t,2132,0
1,95815162,0,,100000000000,4870428,514,90,InfoAction,"{""tag"": ""InfoAction""}",,,,515,514,95815162,\x15f82a365bdee483a4b03873a40d3829cc88c048ff3703e11bd01dd9e035c916,10789475,12,65650430,175929,100000000000,362,,,t,0,0
8,105650982,0,,100000000000,4563516,544,1150,NewConstitution,"{""tag"": ""NewConstitution"", ""contents"": [null, {""anchor"": {""url"": ""ipfs://bafkreiazhhawe7sjwuthcfgl3mmv2swec7sukvclu3oli7qdyz4uhhuvmy"", ""dataHash"": ""2a61e2f4b63442978140c77a70daab3961b22b12b63b13949a390c097214d1c5""}, ""script"": ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""}]}",,541,542,,,105650982,\x8c653ee5c9800e6d31e79b5a7f7d4400c81d44717ad4db633dc18d4c07e4a4fd,11428973,21,1708465,187237,100000000000,518,,,t,0,0
2,96653159,0,,100000000000,4896630,517,443,InfoAction,"{""tag"": ""InfoAction""}",,,,518,517,96653159,\x59fd353253eb177e2104e8f23ea4c63e3d32ef95c7865d03e90d3884424dc1db,10852595,12,9823015,176985,100000000000,386,,,t,0,0
3,97475494,0,,100000000000,4918992,521,569,InfoAction,"{""tag"": ""InfoAction""}",,,,522,521,97475494,\x7fd6429add8f2611ad8d48c0cc49101463093aec285faea402e8cfde78ea58d7,10951864,7,999827107,172893,100000000000,393,,,t,0,0
4,98263157,0,,100000000000,4563516,525,671,ParameterChange,"{""tag"": ""ParameterChange"", ""contents"": [null, {""costModels"": {""PlutusV3"": [100788, 420, 1, 1, 1000, 173, 0, 1, 1000, 59957, 4, 1, 11183, 32, 201305, 8356, 4, 16000, 100, 16000, 100, 16000, 100, 16000, 100, 16000, 100, 16000, 100, 100, 100, 16000, 100, 94375, 32, 132994, 32, 61462, 4, 72010, 178, 0, 1, 22151, 32, 91189, 769, 4, 2, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 1, 1000, 42921, 4, 2, 24548, 29498, 38, 1, 898148, 27279, 1, 51775, 558, 1, 39184, 1000, 60594, 1, 141895, 32, 83150, 32, 15299, 32, 76049, 1, 13169, 4, 22100, 10, 28999, 74, 1, 28999, 74, 1, 43285, 552, 1, 44749, 541, 1, 33852, 32, 68246, 32, 72362, 32, 7243, 32, 7391, 32, 11546, 32, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 90434, 519, 0, 1, 74433, 32, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 1, 85848, 123203, 7305, -900, 1716, 549, 57, 85848, 0, 1, 955506, 213312, 0, 2, 270652, 22588, 4, 1457325, 64566, 4, 20467, 1, 4, 0, 141992, 32, 100788, 420, 1, 1, 81663, 32, 59498, 32, 20142, 32, 24588, 32, 20744, 32, 25933, 32, 24623, 32, 43053543, 10, 53384111, 14333, 10, 43574283, 26308, 10, 16000, 100, 16000, 100, 962335, 18, 2780678, 6, 442008, 1, 52538055, 3756, 18, 267929, 18, 76433006, 8868, 18, 52948122, 18, 1995836, 36, 3227919, 12, 901022, 1, 166917843, 4307, 36, 284546, 36, 158221314, 26549, 36, 74698472, 36, 333849714, 1, 254006273, 72, 2174038, 72, 2261318, 64571, 4, 207616, 8310, 4, 1293828, 28716, 63, 0, 1, 1006041, 43623, 251, 0, 1]}}, ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",400,,,526,525,98263157,\x51f495aa23f4b3b3aa90afde4a0e67823bb7ac4ac65f5ffbb138373b863f2f74,11038356,0,1644548,355452,100000000000,3441,,,t,2132,0
6,99700949,0,,100000000000,4563516,529,754,InfoAction,"{""tag"": ""InfoAction""}",,,,530,529,99700949,\xfff0df644d328a5367212f45bab59060bde3c4091dc96c723062896fd6197314,11122159,76,1079595,198149,100000000000,560,,,t,0,0
7,103039629,0,,100000000000,4563516,536,936,HardForkInitiation,"{""tag"": ""HardForkInitiation"", ""contents"": [null, {""major"": 10, ""minor"": 0}]}",,536,537,,,103039629,\x0b19476e40bbbb5e1e8ce153523762e2b6859e7ecacbaf06eae0ee6a447e79b9,11254748,38,895702,183893,100000000000,442,,,t,0,0
9,106371891,0,5,100000000000,5186648,546,1302,ParameterChange,"{""tag"": ""ParameterChange"", ""contents"": [{""txId"": ""b2a591ac219ce6dcca5847e0248015209c7cb0436aa6bd6863d0c1f152a60bc5"", ""govActionIx"": 0}, {""treasuryCut"": 0.1}, ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",402,,,547,546,106371891,\x941502b0aa104c850d197923259444d2b57cab7af18b63143775465aaacc84f5,11488715,31,2992488895,323076,100000000000,2855,,147912156,t,2132,0
10,107048539,0,,100000000000,4563516,549,1458,InfoAction,"{""tag"": ""InfoAction""}",,,,550,549,107048539,\x56f39054758f1a3cedc1de9225d66bf270b62dfdbfbc5399f1d6d43aceffc636,11554076,2,1527168,181297,100000000000,383,,,t,0,0
