"type","voter-hash","vote","voting-stake"
"SPO","ff069b3ecf738d4adfe83f7c20c64b82f94f7285ee41eedb2bfd297b","Abstain",21565070704424
"SPO","fcbfb4a3c18f890de7a51f68603b18e654f8b432abdda17c53a0d586","No",14846253531720
"SPO","fb21d3e5ed7684742936778239a7bed2bcee1292964ddeb716d3a903","No",61852213918305
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","No",277998269347
"SPO","f1b265f1e545da9c6e003c5d703fb5a23283c646cd40b2d619671e7f","No",18328928976821
"SPO","ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23","No",10261909720561
"SPO","e8e00995c7f3820fedf01e75a443c56e20f96ddcf9168b662ce2fdcd","No",2433131678508
"SPO","e40edb5a243c9ef00296860c6b7c8272fd5923ac52b5050d68e80d9b","No",20949482975239
"SPO","de7f214056fa551217d6ed21203bb09e7f479b34e8f4740bcf87f6f9","No",88243874852
"SPO","dcf43cff10f366a4804905092fb8dda95a57bc348342ed2a5f356965","No",13786782898097
"SPO","dacf06a23e4aaf119024e63deb79861ca175b24e7d44d97fb92b1a22","Yes",37685110086268
"SPO","d918835729aaab9d4dca82c60079a6c643d65141f909730ecfeb3aef","No",44095065783975
"SPO","d61ab012cf4b0c24daf2447309638b25573f85b0a7e4ffdb60db9b22","No",1416391062847
"SPO","cdb10209d937fc1559c635e35b9147febde5307b4a7d276f868775cd","No",75131444672162
"SPO","ccf9fa7bd7cc72f851effb0e229f7ab163ae670250c38b18dbdd8f8f","No",56664628372141
"SPO","cb87bf12be816ecd5cd6e167442670e4024d85e0005c8623651b371f","No",42169397440266
"SPO","c5c43637ce16dc7e2619be1733a769f63aaf193e6e93458479eafd63","No",2134736683002
"SPO","c320202c2f21866e1f1d3c16bc756c6834a49c05714021ae46f850f8","No",506116333466
"SPO","c29dd3c55a4f3f3b02aae6463ef8e1e66a70b5d000f8a6dc3430ef04","No",3184512160078
"SPO","c1cadab46b74defa9f79b59b617fe2a50bdbce6b367e472b6109a7bc","No",37031647244272
"SPO","be80794a946cf5e578846fc81e3c62ac13f4ab3335e0f5dc046edad4","No",4380763749786
"SPO","bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab","No",6457621847772
"SPO","a95b4f891edea1c877954d48968968b2c91a80786858d89110caf7f9","No",30715427990725
"SPO","a803d6a5b213b52b38c4d7b97c934b904810c36e40a9d7260670d618","No",199192998591
"SPO","96553a437b99271fdcaa30c279e432224342e88147741db73872f03c","Abstain",1572706576258
"SPO","95954fa839905a201d8d97cc31be8bbd4ac2ad0df1d201accce3a23e","No",48149849922707
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","No",1317091037389
"SPO","90a9f94272aa45bb1eb27bb0e2fda43eb4d9bfd31010ab2c9c249896","No",32622409066031
"SPO","903e554b27f6c66a2032bedc3d74fdf6b58b2f09a05e13b9af71807f","No",5566754739333
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",12700289635074
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Yes",1830646796831
"SPO","88eb9f2d6bc1835026154016c7dc54b54e06dee61c2c238643969202","No",5351491231406
"SPO","8857ee40b59bbc752e8cab4e5808e204cf7c4ce338fd7b86f4db0cc6","No",13894012507238
"SPO","7e7eb329d995759d2b9fdb85b8d0c9e3fa2e57c460641c8fc875e780","No",8118243739184
"SPO","7782b3a9574a1d179a767064213e03a061995a006e1aeafdfb8463f8","No",6201782238794
"SPO","76e80e1b3f622c7051f222453497b0667e12892f5d94ee565d17dc52","No",21275227956021
"SPO","7113de447fb62c38e3e3aeec434cac6fc76e05e997b84227e9c637b8","No",21594653795300
"SPO","6a4a39566f5c45f0f6de34ef5e674b892e517ddeebd4eafcfd8583ef","No",4618343877505
"SPO","6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4","No",52518874394760
"SPO","660f2b816e90e4e826daebf33357d76ab89414f88d57dd7d9f7898fe","No",1928775954873
"SPO","6371c7935c90ddb9b2bca3e5ae04d69711ec1bc28749393116c6d44c","No",10360534569505
"SPO","6198d2070b6e70cc2a5e370a43dd49699960c88a084ffe390abe9a6a","No",10962750978384
"SPO","5b5804135b07be6f3635a655ed1b68ddef1854523b45cd1840a6fc33","No",60877581099224
"SPO","566ebd3406088123f8dcc99630f122520db5d479e661c72b43571627","No",8236189020053
"SPO","538299a358e79a289c8de779f8cd09dd6a6bb286de717d1f744bb357","No",2174406327037
"SPO","50e113d1ada46a83a16d5ee6cfdc1a8baed6634c9f046ed30131eb11","No",17461232771162
"SPO","4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7","No",3003500097997
"SPO","4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af","No",71033113034961
"SPO","4690a6bcbfc9eedd4d8595c9d665cd9b8ebe3e6d82ebf0120d7bc7c5","No",4392427514920
"SPO","3dec052cf085697aa6c32a934527f7c5761165a6a6f02a9af30c9ed1","Abstain",2706233270926
"SPO","34fa6e42ffafbb9bf63b1c78e99b09b30527f37ac544668dfaab624d","No",532558747483
"SPO","2ba96bc27be2bdde3ec11b9f696cf21fad39e49097be9b0193e6b572","No",62894580943231
"SPO","21cb022b2557aec62f5a74f96350d398fa31186ba53240ad7d7466fd","No",1143757317240
"SPO","1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5","No",62770973253761
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","No",29443488814489
"SPO","153806dbcd134ddee69a8c5204e38ac80448f62342f8c23cfe4b7edf","Yes",71471264681925
"SPO","138031b823a08dec4535e583ca8ea91530abd9c62b1c0b768fd1f834","No",966256962827
"SPO","0ec6869e13bb1f39c8be3611e7cc00ba1ec2a22d7e4b197cec9aa2e3","No",5182418425160
"SPO","0a423fa44f23b13cba59474427d11746136672af66b2d80b4499dd1d","No",30435827631608
"SPO","08453273401b3ee2f380ec570f8c926d5f3bd3522337d03b566a6b61","No",42380254385200
"SPO","0840d05089b5bff1e24fe57c1ed905cd6fda68e1147a5b5863d39562","No",12454310398585
"SPO","07ac7dee6c82177096b70ccf21cfb8965c1fb08e079f9ca4af4b2b3e","Yes",20785576354621
"SPO","052100e65f3fa89fe1e2d3ae521446b2013b3c91ef5c7961e1b1a1ac","No",701139253648
"SPO","00beef0a9be2f6d897ed24a613cf547bb20cd282a04edfc53d477114","No",25476918021281
"SPO","003da6afe37eca8d1bec9a040a51f23eb085c3e1b924948a214067e7","Yes",324792973204
"SPO","00000110093effbf3ce788aebd3e7506b80322bd3995ad432e61fad5","No",28545418920629
"SPO","00000036d515e12e18cd3c88c74f09a67984c2c279a5296aa96efe89","No",66456935350949
"DRS","eb8a7cf53e349af978e81c64ceefcea659a05559b83c384cf938e0ca","Yes",145083498521
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","Yes",735886457554
"DRK","f22c9cfc562c577027b0cfe0192a5cbd1d642c00cf8cdba635e84a66","No",6211165289
"DRK","eecfc8a6aaee8257c75992d918383e4100079e3d24946ff80c32043e","Yes",127413450
"DRK","ec547651033d75540717912858b36d86977b572281a2cdad9d0826b7","No",3137751047
"DRK","ec20ef7cb489a04f466d21606de40e254971c5199ad1d37bf891262f","Abstain",347160970211
"DRK","ea5c150980ee98f05f7f48e78dc4b5c1086f1aed897777df23397fad","No",37531466571
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","No",369773365153
"DRK","e60a0145088a68f1829ed2486496db4c6c5f680082de92e374d238b6","No",5887711559
"DRK","e5abf58a2f065d22fca6f86f021c80fd2ea52a45924659e9e0f49398","Yes",11662871323
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","No",298780508506
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","No",2291136435
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","No",15602896666725
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","No",84310810
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Yes",96115589006
