"type","voter-hash","vote","voting-stake"
"SPO","d61ab012cf4b0c24daf2447309638b25573f85b0a7e4ffdb60db9b22","Yes",1832257743593
"SPO","0df0f6e5a3191520aa0a58268c38fe608d1d931766fc006635f3f2b1","Yes",138323120535
"DRK","f040fce92719b564369095bab8495548ad324529dd2ae19cf4e61411","Yes",650789886676
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","Yes",303036852289
"DRK","a865b3916bd1d4eb06b2c650d928991db042f54f3658c0fb8dfe1af4","Abstain",15707552440062
"DRK","6c50e19fbaa47dd7a226a15d46313b2b088045b1fe2169f4015d7d08","No",2758332358
"DRK","65c525f72280f114c7ff6e4f322ca8c1b508f6db1fe97323c6e8205c","Yes",97528073206
"DRK","608355a04e0c683f70a462b70a1e73f0c71d80381c2dc8830a8ef926","Abstain",18033897906
"DRK","587557751cb28fcdd9842f42b2b711f9147c540a32632534db7ce22e","No",247400534822
"DRK","228fabcdd2b1a034554a7a42dadc591d6540ce542ec0d7a734a197b1","Yes",127056468153
