"type","voter-hash","vote","voting-stake"
"SPO","ff069b3ecf738d4adfe83f7c20c64b82f94f7285ee41eedb2bfd297b","Yes",21456387766760
"SPO","fdd8140cffbc13abbe2c28806dfaa1eea23698d527196025d55b0a9e","Yes",21073799172428
"SPO","fb21d3e5ed7684742936778239a7bed2bcee1292964ddeb716d3a903","Yes",61392055953896
"SPO","f7bc66350f611b20f8f86e123d8780928ee8cf9d827d72f549d61b51","Yes",202615944725
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","Yes",278005027771
"SPO","f0e3c8d48efb750cdf256b68babc880787bc688972acfbbee1ffc537","Yes",283468797434
"SPO","ec736597797c68044b8fccd4e895929c0a842f2e9e0a9e221b0a3026","Yes",8009123606245
"SPO","ec6cdcad62633e065be5d96eecea28464144a1827adc0cba98d29a23","Yes",9916125098958
"SPO","e8e00995c7f3820fedf01e75a443c56e20f96ddcf9168b662ce2fdcd","Yes",2411476301441
"SPO","e6d3f91ef201fd14c0a3d740a1311039c43850d283a6a14ecdee6ff1","Abstain",1094468305046
"SPO","e40edb5a243c9ef00296860c6b7c8272fd5923ac52b5050d68e80d9b","Abstain",21010233640903
"SPO","d058aaaeea58887b79ecb57708d1694bd323276a6b54185bd86415e7","Yes",31443542234307
"SPO","c825168836c5bf850dec38567eb4771c2e03eea28658ff291df768ae","Yes",29939694315850
"SPO","c5c43637ce16dc7e2619be1733a769f63aaf193e6e93458479eafd63","No",2127496337780
"SPO","c1cadab46b74defa9f79b59b617fe2a50bdbce6b367e472b6109a7bc","Yes",36294989609454
"SPO","bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab","Yes",6500997574524
"SPO","a95b4f891edea1c877954d48968968b2c91a80786858d89110caf7f9","Yes",30233026882805
"SPO","a803d6a5b213b52b38c4d7b97c934b904810c36e40a9d7260670d618","Yes",199773022504
"SPO","9f857159422300472655f6a15358b779853c4011f574569f04447df8","Yes",33782167
"SPO","96553a437b99271fdcaa30c279e432224342e88147741db73872f03c","Yes",1736784288651
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","Yes",1357575704964
"SPO","90a9f94272aa45bb1eb27bb0e2fda43eb4d9bfd31010ab2c9c249896","Yes",32533050804829
"SPO","903e554b27f6c66a2032bedc3d74fdf6b58b2f09a05e13b9af71807f","Yes",4888145158547
"SPO","8d2fef46df5f9b2fcb64ebad739f27062b4f38c04df1a916fa216752","Yes",12924660774082
"SPO","8b7a0faa3fb61ce93d1013db3e157c53c3c4060e4872d8d82fa66c6b","Abstain",1443871930055
"SPO","8857ee40b59bbc752e8cab4e5808e204cf7c4ce338fd7b86f4db0cc6","Yes",13887252413673
"SPO","87190b7553a1ee0300420382e8d2877f94cb6e687cb221217f84b4aa","Yes",2118379681507
"SPO","7e7eb329d995759d2b9fdb85b8d0c9e3fa2e57c460641c8fc875e780","Yes",8591297594545
"SPO","7c81fb493350d7fc6ae12d027b56efade2d4edb844d1dd736e0a861e","Yes",504968545837
"SPO","7862852ab4afc9ecf783ff074760ad2f3bf52669713ddd67d6794512","Abstain",7212119629928
"SPO","782310d6e6ab81cde977da3eef0a9f533bd255dadd30d01d33e0dde6","Yes",328098716623
"SPO","77b0a93c26ac65be36e9a9f220f9a43cbc57d705fc5d8f1de5fdeea1","Yes",69976613766559
"SPO","7113de447fb62c38e3e3aeec434cac6fc76e05e997b84227e9c637b8","Yes",21358313898638
"SPO","6a4a39566f5c45f0f6de34ef5e674b892e517ddeebd4eafcfd8583ef","Yes",4651434659344
"SPO","6658713e2cbfa4e347691a0435953f5acbe9f03d330e94caa3a0cfb4","Yes",53971710786508
"SPO","64a4392e99179be25e27a31a6f9e3b31111d761e3d301a7e8f6e9d09","Yes",88740369042
"SPO","62d31aef92824633bb3041e6cdcf81b7a611792a3f9d7fad8a476aec","Yes",7225978627479
"SPO","606e6f06f41f49237380db817fba2a0fe3bd7e0bc0e9213f38ec9b8a","Yes",10432738005099
"SPO","5e35823f00b4e1ba970c809fbb43b24b3fbbc58cc04f342f70093083","Yes",105274424294
"SPO","56b76df4f3653a6faf62f6f6838045cf9f3dde69a1eee353de526ee4","Yes",26138431969571
"SPO","54a7cf8a1e91ff0b72a3577c0d2f39d2d7ad1fca63ae0b9e4662053d","Abstain",43205986024523
"SPO","50e113d1ada46a83a16d5ee6cfdc1a8baed6634c9f046ed30131eb11","Yes",17356930375072
"SPO","4d470d31f80c01d797996b43abdfe7339ae5b408fb31cc655a80ccd7","Yes",3085364796163
"SPO","4aea697c45e39e37e5d842ec8cf6c01a714e88db33a1ba0565ab59af","Yes",66573429884134
"SPO","41996c3e9ed67d47ea81a59f8831dbc948a00f296d11dd6a6678b543","Abstain",5893906962595
"SPO","33804ceb7f4add2479faee0544c802f2369a81a4c94a284bef8f6a3e","Yes",2851820579954
"SPO","2412ac3192e68fa6179ca3a84cfcb080a7007e7a8c4958dc9c2c4d72","Yes",501596811
"SPO","1b268f4cba3faa7e36d8a0cc4adca2096fb856119412ee7330f692b5","Yes",64460763754768
"SPO","1b2523e031e0efe6e5fe0edf8c82fd51abf33a1a2feedad5456ef4d9","Yes",29371839704237
"SPO","153806dbcd134ddee69a8c5204e38ac80448f62342f8c23cfe4b7edf","Yes",73625429290888
"SPO","08453273401b3ee2f380ec570f8c926d5f3bd3522337d03b566a6b61","Yes",43550507584780
"DRS","199ad2959c8c4e4d50a04a0f3d873b692ff86fbc6a195dd44d17b746","Yes",161704523139
"DRK","fdec0e7b970169151874a50e0f22f41fe95dd722eb0e1a11364095e2","Yes",5086715024395
"DRK","fcc1946fe92b7f27a8b21d6639bffc72be07157b2745ef204d7467c0","Yes",274294853934
"DRK","f8d68d00c75e66d7bddc341f94536871b321e387851da112cff7ab43","Yes",6410813702074
"DRK","f6a165a04d2a118134b25820534d40fd0886b7a45c71554716beac1f","Yes",18545284
"DRK","f5f434209648a3e80e5a8fedcede834172d3ac4edb9aa9808efeb912","Yes",267616637946
"DRK","f31c5c7c3efcd8a0480b99b4766f449261f0a32e08c1dad8c8f0f761","Abstain",625689122615
"DRK","f0ed00410031f3288d7889aa896cfdad79a7441885d3bae8982ac151","Yes",21567323591
"DRK","f040fce92719b564369095bab8495548ad324529dd2ae19cf4e61411","Yes",786264586687
"DRK","ef99796c601eb47571ff919d02afe74727a81bdfe81e08481bdf06bd","Yes",60629134186
"DRK","eecfc8a6aaee8257c75992d918383e4100079e3d24946ff80c32043e","Yes",248729800
"DRK","ec547651033d75540717912858b36d86977b572281a2cdad9d0826b7","Yes",3493280943
"DRK","e72e836e014162918aed129f141250d5b46f1b0edfa3c4a58c2043ea","Abstain",892506243456
"DRK","e6ce8801848a70f3ced317bcb5b8214339e89a9fde180e9d90919a2a","Yes",372806494996
"DRK","e4466cb4391d2b069e49ddb8dfac9795fc6a91587dd92d6632f495a3","Yes",328676924506
"DRK","e3e844516b45b17105df2462530f0f568caf72669374c6f9acf73629","Yes",102004998971
"DRK","e110365006277fb6a38f3365738f9a973b9d555a269f53a788224be4","Yes",321470498337
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","Yes",18393359127169
"DRK","dd70f2c717eb5a7153d2753b6cce713e786da1ffea2e9769505b185a","Yes",43916183129
"DRK","dd3573c0092bc1fad1301bece6e95c50a248264d743e21c2dcdb6266","Yes",1090275721
"DRK","dc31e3ed20fcefa08e80a229bd8431864f59959985b7f9752e735e36","Abstain",101517169055
"DRK","da7cba6189cc2a574546a24746b961405c62eabe0818c54b3e001108","Yes",5008968760495
"DRK","d85bac1ec8fa9ab93509c6a89ee3c567cde2fe1fc18a7455322ad85d","Yes",1462469711
"DRK","d6918668ec1de20da3211b046b48130e29da4f82e5346e9d3de11a46","Yes",2981616186582
"DRK","d3d857a6bece410c00bd47c57380cc387f0b20d25c8a0407e8809f67","Yes",120418858474
"DRK","d39faca15484a2e644dce5450bce70a07d73a0ccfe9a4f512de86819","Abstain",17379120482
"DRK","d33da6bc4ad754e5f7d44d7eb7ef655ea40f539dd7840c0a8760ad59","Yes",8672250698362
"DRK","cf463d781631ff7647ac2487e3ef2176864ef3ed32f6b8f6d0a0800f","Abstain",78510085007
"DRK","ceb1cc47cd31327f642216f090434b8aa1acb0aaac83aea3bef4b7b6","Yes",705293547
"DRK","ccb1dbb55ed9bd1553b22cdbd79914e11a39a0c8c1c4770d62d7f135","Yes",228289892562
"DRK","cc7559aea43dd0959f226897ca5f3b46459d87f2837b840d17c6a5a4","Yes",26527061954
"DRK","cc37fee8a4bca7120ce97b852213aff16aa09999c8e35809c5e00444","Yes",6032647175
"DRK","ca647bef6fd06947e4cbb7368860a38528a6b3e41b60a7a59f849ac2","Abstain",909204984287
"DRK","c99a849cbd046186b39c7d393a5a684a25de51973b6bf2f952ea3e0b","Yes",1012304160362
"DRK","c6850f98ad7fc589b4581d4dd4a3b17e6d8c3281e963fd4084d6c47e","Yes",421014187653
"DRK","bf7cf9d35407a66f2744f1dac876bb2bee5e2bb7e04b6c606384d055","Yes",1095417989270
"DRK","bc5c2f2aff2522fdb9aff627f9d0b728960fba2dd63fe4862f6e3d3f","Yes",104366577809
"DRK","bc094a622f7c0d0b6c0f64200404fceddd7c3666365822436df205bc","Yes",1441916696133
"DRK","b8bde471daa8066123da3ff69ce4e64058662d3dc129c94f75aa07e1","Yes",494465569
"DRK","b6f4547ad049d7443ee5695761e1aa5e446cfccf72c7ed0d8ad8edfa","Yes",20936605546319
"DRK","b5393f87d09ef82b1a22f39c379968c4630cc39c4abbd37de3eef1d1","Yes",160287484449
"DRK","b504dbaab6de1a99cff4792682afd38c6c0aed226e563bc430530cff","Yes",588619737837
"DRK","b45cdcd28bed562449c2847ab1e6259b1eef8451a6fb30a249c77c67","Yes",90408727885
"DRK","aff45cba7bc52fae256de95178476ea96ede79c58e4bdfdc46c582f6","Yes",668614104947
