"type","voter-hash","vote","voting-stake"
"SPO","f4ebee070198a0db41e46d5e59a7c582357013d15b907f65ad75d55e","Yes",276260542701
"SPO","dcf43cff10f366a4804905092fb8dda95a57bc348342ed2a5f356965","Yes",16006077497023
"SPO","d918835729aaab9d4dca82c60079a6c643d65141f909730ecfeb3aef","Yes",43966691933449
"SPO","d8cc8d4198e23dbc5685c6682e6ea06e82fbd93879e42086e64ccc21","Yes",288081157476
"SPO","c825168836c5bf850dec38567eb4771c2e03eea28658ff291df768ae","Yes",30902468883117
"SPO","9e5dbc61ade8b23176636e739fb056d30572c1669d2671f590b83afa","Yes",15702738150498
"SPO","96553a437b99271fdcaa30c279e432224342e88147741db73872f03c","Yes",3102105369383
"SPO","940d6893606290dc6b7705a8aa56a857793a8ae0a3906d4e2afd2119","Yes",1341663151405
"SPO","926b65d00c21aa1fb19e44faa2293e342578ed6a80aca4a551191a70","Yes",1339839714900
"SPO","7782b3a9574a1d179a767064213e03a061995a006e1aeafdfb8463f8","Yes",5781466116623
"SPO","6a4a39566f5c45f0f6de34ef5e674b892e517ddeebd4eafcfd8583ef","Yes",4644953568891
"SPO","6371c7935c90ddb9b2bca3e5ae04d69711ec1bc28749393116c6d44c","Yes",10326002081016
"SPO","6198d2070b6e70cc2a5e370a43dd49699960c88a084ffe390abe9a6a","Yes",10317574855326
"SPO","5e376d756f6eec459900a4abcf2510316c45b13cf204a57c703dc251","Yes",6707120075193
"SPO","40fd2f82c5b6eeee096d761c9d4c8352f3901467bd49a5658f30c6c2","Yes",2521571231337
"SPO","0ec6869e13bb1f39c8be3611e7cc00ba1ec2a22d7e4b197cec9aa2e3","Yes",4169768479473
"SPO","0840d05089b5bff1e24fe57c1ed905cd6fda68e1147a5b5863d39562","Yes",12198125346718
"SPO","00beef9385526062d41cd7293746048c6a9a13ab8b591920cf40c706","Yes",9077023221401
"SPO","00beef8710427e328a29555283c74b202b40bec9a62630a9f03b1e18","Yes",25390713610617
"SPO","00beef68425d90f50c8e2102476a0f42ec850836e9affd601ecf7804","Yes",4637295345592
"SPO","00beef534478b59ba0b2b646348c8d1f81f60bf40a2195c6378dd5db","Yes",8180045801566
"SPO","00beef373356ff27a77bd510f4cd35d309715afb6f52f49d9186a16e","Yes",16512781982064
"SPO","00beef284975ef87856c1343f6bf50172253177fdebc756524d43fc1","Yes",4950306143124
"SPO","00beef0a9be2f6d897ed24a613cf547bb20cd282a04edfc53d477114","Yes",23014428298867
"SPO","0001a003afb844ce6d9409fc49e049db654a78dc77f1151cb6cd548f","Yes",42556578285342
"DRK","ddb7316d7f4ff1d69084f2352e4613284381f17474fd133dfb4bb6ed","Yes",50331830266932
"DRK","85cf550b3c0cb19b134021b1cf81b086bdfc10bed9bdd00be5cc6d18","Yes",582711880753
"DRK","725cceb7823111ea775edd2cfe577eae89b16520856703095b1b28d7","Yes",1821775898924
