"epoch","tx","tx-idx","committee-yes","committee-excl-abstain","DRep-yes","DRep-excl-abstain","SPO-yes","SPO-active","SPO-abstain","outcome"
559,"7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6",0,0,0,2178305373258901,5207849136517389,588721881808229,22086601194918576,7000560742234443,""
559,"bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26",0,0,0,2115855129911426,5217939703541428,287247448525578,22086601194918576,7000560742234443,""
559,"4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384",0,0,0,184579733439919,5139704501311624,0,22086601194918576,7024660401095947,""
559,"637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73",0,0,0,1514138360108429,5161526396197009,3682794689843,22086601194918576,7000560742234443,""
559,"defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49",0,0,0,1371006495411808,5054666233990933,58362748158738,22086601194918576,7000560742234443,""
559,"e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee",0,0,0,1441182029584431,5230072714683048,24099658861504,22086601194918576,7000560742234443,""
560,"7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6",0,0,0,2287971745598897,5375400329049452,572995584418329,22109908030981126,7572820149763520,""
560,"bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26",0,0,0,2347665572080054,5404345471008935,273327039001741,22109908030981126,7571934024351234,""
560,"4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384",0,0,0,202695530749354,5285768367619631,0,22109908030981126,7596008969858416,""
560,"637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73",0,0,0,1656869912522694,5349838824751067,3667024728937,22109908030981126,7572820149763520,""
560,"defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49",0,0,0,1514222000602654,5216294710066032,44200697772708,22109908030981126,7571934024351234,""
560,"e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee",0,0,0,1668022206667868,5374848535709605,24074945507182,22109908030981126,7571934024351234,""
561,"7d9fc9fe4cee64fb34e57783378ac869a85c78d6fbcd4078ed131ab6fa3c7db6",0,0,0,2349965987191895,5355678135055138,629153824163943,22056240205171748,7538000074152046,"Expired"
561,"bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26",0,0,0,2483531092944129,5384919155204081,363624858462589,22056240205171748,7537114090957381,""
561,"4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384",0,0,0,202558468389289,5024443595554184,0,22056240205171748,7561176056239818,""
561,"637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73",0,0,0,1712570182319402,5318848077037273,93318201756839,22056240205171748,7538000074152046,""
561,"defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49",0,0,0,1570478379647498,5168649178328868,133907149320029,22056240205171748,7537114090957381,""
561,"e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee",0,0,0,1723482169412046,5355170142250568,335759984819305,22056240205171748,7537114090957381,""
562,"bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26",0,0,0,3465391911062135,5368967550067350,378013564294401,21959694096131465,7551928984530533,""
562,"4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384",0,0,0,202603308806466,4985477152569672,0,21959694096131465,7575983174324356,""
562,"637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73",0,0,0,1820181510256017,5293393415877734,93586313337747,21959694096131465,7552814967725198,""
562,"defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49",0,0,0,1597422130017612,5096299765005944,134044159303331,21959694096131465,7551928984530533,""
562,"e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee",0,0,0,1830009776165099,5334431949427672,335189519243901,21959694096131465,7551928984530533,""
563,"bd488931f792651fefa9c6fda185a2c6cec83245b51d994e33090ce36e29cc26",0,0,0,4321359580966578,5373117458820690,540210151799288,21922756837245120,7463772430679183,"Expired"
563,"4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384",0,0,0,202520094442362,4996022396253479,0,21922756837245120,7598069525692957,"Expired"
563,"637e3c256da9c1350847ca3211e8c44e3660a4471e8b6f68a8c537746b4aeb73",0,0,0,1968485489377223,5279937755560750,120064848874479,21922756837245120,7529649447382134,"Expired"
563,"defbf15b06092718adf4befeab982e03d2966b9caeef93c19e470549ef75ea49",0,0,0,1716868287029717,4975072410280881,197737922169166,21922756837245120,7574793134829125,"Expired"
563,"e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee",0,0,0,2746272131843452,5338676752556794,560605356286654,21922756837245120,7463772430679183,""
564,"e14de8d9dc4f4ddf3fe9250a8a926e20f10e99b86bd0610b77d7a054981591ee",0,0,0,3507571619310506,5362839182790499,582514477326475,21958111810684761,7747130644784116,"Expired"
567,"60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45",0,0,0,1561918134604473,5259655040089169,0,22022928316834548,8345753024340192,""
568,"60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45",0,0,0,2607930406155159,5277838785038164,0,22035038886516172,8654556441411076,""
568,"9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b",0,0,0,2493091266129,5288754909162248,25714654864916,22035038886516172,8654556441411076,""
569,"60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45",0,0,0,3193319989228761,5290261732408320,0,22056635838406806,8742930735561454,""
569,"9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b",0,0,0,826295250819614,5215026612977897,26790549790221,22056635838406806,8742930735561454,""
570,"60ed6ab43c840ff888a8af30a1ed27b41e9f4a91a89822b2b63d1bfc52aeec45",0,0,0,3952991236887647,5333771848931091,0,22028639050854703,8768708843588814,"Ratified"
570,"9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b",0,0,0,1217717131925741,5293175773461285,50643630295027,22028639050854703,8768708843588814,""
570,"495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280",0,0,0,174837445495054,5380039544851205,0,22028639050854703,8768708843588814,""
571,"3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9",0,0,0,954273653010607,5376867551005187,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",0,0,0,141498185956824,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",1,0,0,130272695447748,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",2,0,0,50262462866040,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",3,0,0,50894636838892,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",4,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",5,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",6,0,0,50894636838892,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",7,0,0,50262462866040,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",8,0,0,61667706409855,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",9,0,0,50894636838892,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",10,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",11,0,0,50305430285126,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",12,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",13,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",14,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",15,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
