"pool_id","latest_op_cert_counter"
"pool105wx68zqse6v4wyx09nkqhxhmf7e0zj349pclyqsjqch7953j0x","0"
"pool10660wfqfhc6set5a8sq79jkv0nc6x6wf6wgfs0wfjqvqc3sg8g2","0"
"pool106rnmvjt0n27y34py0qytashgm04v4hlqurp3w28z789v8scxat","0"
"pool1076ljkzg2j6xuph5s62wnauvq9h3y2yndsvjm2439ewh64mu2nf","0"
"pool10c40pnzz3e00kuej05xfcs2ptkekhys48q7qc4jjcsysypj46qv","2"
"pool10cpz0zepq23hm6lrk8vgnsdwl772lasq9caaemvw9kh9ktxqygk","2"
"pool10d303wup90j39mmvysf0lhr2xmr3mf38y5vs577nmlq6yy8n666","0"
"pool10gqm62xy7caj6jhhefsl7h59kse3rv2esuh9rvx55eze2n8dlrj","0"
"pool10jf6mmkd564zuad37dwva4sanwwc0cfn4vn6f3crkwtzz060n0f","4"
"pool10rpa4tzxh3az5rp37pc73tt5q0rmu4lk3um40znsxt22z0s4d5l","0"
"pool10sw35nk2mxdk35k64rdg5psutruaaqyhzhwzr77h5t58upuksmc","4"
"pool10u9jtq8xewg3x80fulh7tuucktckfqzm9h38lz3ldp64y57fku0","1"
"pool10zpkwrn985m32537cea8k5cagwyz6x9hpgsj5yd2tlmdx0zdq3r","1"
"pool12dx0cdnha2w2jprmah6d4nmgzavkuls5dprg8gyays4n2pkp07v","3"
"pool12j9ttttrr9hjsqmhen5ryhkwjlyu7mlyr43kwnax4xrpyffuwdx","0"
"pool12kszajncssafvl3kg9qmqxuh0zeg7r66sukwwj6jg4guyw4yaac","3"
"pool12l50qwcfpwj46ggkw5heexjqzndku48j3dg8zkext07rkrc4kz8","3"
"pool12l8602apyt7a52l0746te57y4wtl9rv0pxjvsg6w5p7vk2pcwk2","1"
"pool12q7fskmv767qv8yn7mvcxj5azam9cdg0lpm3cajjqr2rqxc7y6a","13"
"pool12rkpkqaf0w67v7uslg7x9esk8037yt8maawgj36du6kzqtw80ev","1"
"pool12w39xy6d6kzy7lrzl3y3n06h2fv4mjvpl7ruy6ckc35vgx8j2pm","6"
"pool12w5aspv3uhps8ms4qfhj6ku9evkvuxmgf4h8l0e6ujmcut7r2er","1"
"pool12yrhvezsrqxlafahf02ka28a4a3qxgcgkylku4vqjg385jh60wa","1"
"pool133qyxgzcvyzey8zz36axhj7muacq25xh0jestrp6a5fygafaccf","4"
"pool1397kpa7ylzg4lqrmj3xr28xzq2548c8lafw90qyxvucsslap03v","11"
"pool13kpqqdw3ct5magnvwrsfapttyzqjqcfqgs86e2zeewt06ts7fhq","0"
"pool13lzz4pef8d5rxx4xtl7rsm4e3vh4jy8lt75zj00vr9kzu3c0u4h","0"
"pool13nax94w7d5wjamh6jvr5plsw5dyx9w2rrqaaelp26v0mukyxmmn","0"
"pool13rh3005usjnr7ks76llpn07p0z4dxnxzp8aj33lnncaawfp9vn6","1"
"pool13twr5n4j3tjc3aud6hp5zagrmvu8edh98u6ghmcm47m8v37yvym","0"
"pool13vuxg9gw3fftvfg56xwl5rq82nqtjhhkeacxtg0jgqlfup9qz66","0"
"pool13wvt63csdlvpkw636xu7kjk4jr47xdfhqxhusewhg0zmx0us49v","2"
"pool13ymesv09gufed7nxgsclusglzzrkz03gzdd05s5ns8t0cvxjunv","0"
"pool1407hpuvtp9ww8s5mt53ear7062j463mvwhnypurlcask7djg3ae","5"
"pool140axp85wjr7qhwtf5y9utlht6eq42n4sl8wjh6fmlu02gel0aqg","4"
"pool144e8kjelqe643frs9yqz0m3u28zdhngeyqrygnmkny3z2qnpzeq","3"
