drep,vote,amount
drep1lwcy7r8qjsml2an3njxyaqk6pkmevn6zh6xqc0ntgzvzwds0cgt,yes,1532762030363
drep1vlx2m8ymj0eug8g9w0n869r3mtn5k66avkjce2w2qrzx6hx8jje,yes,26412186806985
drep1zagwghdf0q2yz0ra70p6zgvmug9zns2yxefygsfn6suq5qvgqq0,no,768683806642
drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,abstain,4837130085066
drep1lgpk2c8972sq825dum2ljjtp2f924wt8wcv8sn6z9zu666yhvly,yes,529319594
drep1k5unlp7snmuzkx3z7wwr0xtgc33sesuuf2aaxl0ramcazvulefk,yes,829689215869
drep13qdeep8uemaypwwe6qmasp34afh9l5vs2z4tw8l09cf0x7qyrua,yes,23643169023
drep1slvssvt0tuxzfm4c5dx0zr6ql6v63a2d90m0m5e330jvjh4vvdt,abstain,379837228919
drep1t9y55uqj56dty56h85hvrkh3yf2gwy4yn4zlrugtnaa47cyq9s8,yes,35717224315
drep1uragrtj2nxp8gd9ptc0ys4ckp2dlc30yyufwgcstnds6c44ga0u,yes,122054429482
drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln,yes,5558995194913
drep127pc58jyky40fvess0c4tjxkrnkf8ta3sfltvm4ptypqc5fgav3,yes,59394678996823
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,yes,58647585935809
drep1srpay484raqfax66hdkuygw6cult7wde42j4cd24queu52yfz64,yes,44582252190
drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f,yes,275873226150
drep1hcdyvu9y55qeun5uqj33gyqcev4vjx483vrn784e50sevkqrtsj,yes,335554921622
drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,yes,12689226771692
drep1sh842zeupjceky6qyxculqdss67lcy97mx7aqzl9e3k3sr6xlga,yes,606946750843
drep1ztnap45v9hyhpxlnpmn6avxv0vvevx7zfhztdprux875vntmd0r,yes,39047898876
drep1j006m7ngaavmvmv6tfu66p5fwet3ehdm340z6xl2jn7mzw7xvl4,yes,38281403374
drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,yes,3174524616744
drep1kyuy9qdrxe9gny69t8zgaxf4wcu4qtlfx3uegf2w4zu4zuc4evh,yes,54911662944
drep1esmla69yhjn3yr8f0wzjyya07942pxveer34szw9uqzygjfq3ap,yes,119386362053
drep1rdz8xlmpu5clw67fgjsn95ry7zzm74erv9dk5lg9z4c8k6fvrhm,yes,27624458653
drep1taxuxp3f9yvw5txzssxx54n6qy73r9ecc40c5mx4wthuw3r3mj6,yes,1020876063532
drep1y6369ljqgayg7vwdvumqqq4dnzstxtu6e9dgq62qzdh42rddymy,yes,73710246596
drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,yes,8731525896276
drep1hsy55c300sxskmq0vssqgp8uahwhcdnxxevzysmd7gzmcgzgzsu,yes,4814179696250
drep1mvn7l9djdckd533eql2rxx42wr93sdvdzwp3zmz4j8h6ss7vkfl,yes,2225834537708
drep1v94zgzzrlmfral8503hqm2ux5d4y24vr63dg58sprr3m7p6gfwm,yes,37308213904
drep1wzr9eclxlhfwld2rjrhrhzm0rmvcchv3fu3zm3zgqnfls6zxgn7,yes,377989839913
drep1wf9d9vl7fea4qn23sjpxrg89gzq7fysef4pv76h0qtffq7j2ryr,yes,1248915744
drep1207q6lyfjxw266kjrzhec02u4ceynx9y5nla4fypyta0u4vdmhm,yes,39646869875
drep1ra0d88cf4n58pt3zdydxm26nq5ppkrq8qwu892hx8zwvueg6298,yes,178653019436
drep168zlqu8zua840gr8xalhk2p4r3hvz7r8hhswngyw06gsqp0khfw,yes,1181667449220
drep1r5x95z3zmuld2gqwrfqym60g7dr9fer7ujy6j903lue36rd4fll,yes,50589881603
drep1zg50s9rwt4tlww9ce6ws57sr98v0d3qnjgacls6wnq5tq608zjf,yes,50707422784
drep1cx4vnd4zwg8r6j3c5lwvvtvv7y9rlyhlsxtrlq8e50he7a3g67q,yes,8785244044312
drep1aqr3j77yyu92kyjuln30n59tpnp5z3aceaq6d5ljr0jx6ket027,yes,578015500857
drep1x7fk09chccz499pn5ghg5s4aezzccgdx6m6v0mkpqgpfg9lmjrc,yes,91596775608
