drep,vote,amount
drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,yes,23222923709290
drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,yes,224781190588
drep1ju2udpph53uuaut4sy6ss46rs9595yeaqnxjsvsms5htkyup4cn,no,442469459143
drep1lvs070xte7kfunnmx260lnc8fr66rpu7xzt90fz9s2ee5rympw9,no,82237581777
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,yes,56480077117758
drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38,yes,61814812675107
drep1yk4lqv8va8hyhmxhmmr3vlfsja84y09cw03vllpxcqh7qlxdlh4,yes,22029167978732
drep1k3wde55ta4tzgjwzs3atre39nv0wlpz35manpgjfca7xwu7rnw2,no,577597241615
drep19jtzh8h0gs6dcz9mcyyqlwunwhtregu9uwvntcmfdxxlyrgelza,yes,523982410154
drep18y3ch9fuefgt8ne87k9sjedm2y3pey5lcyzhpqkq02vujxntnxn,yes,16800176904
drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,yes,9949594120009
drep120m237kstm7pzywv5nwtjm8gj8dl55j9nupwlkapz77mgv7zu7l,yes,129750518700270
drep1zzuasedw4v7ctfdfvrsmr6surqxh78fuakxvdnztu0y4xnc8cmk,yes,3739554040904
drep185r8rr6j9evjs984vnr7haf5cn3qw5w220usk23cxffvwuutaz3,yes,225486928125
drep1k5zdh24kmcdfnnl50yng9t7n33kq4mfzdetrh3ps2vx07famecw,yes,5253730172832
drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,no,5655873195328
drep1sa9nnjjy4vkh64ln74zd4yj6dc3njv0sepz9nf4g97ctq8qfjpa,no,3251096794707
drep1mvn7l9djdckd533eql2rxx42wr93sdvdzwp3zmz4j8h6ss7vkfl,yes,2326260933895
drep1a7vhjmrqr6682u0ljxws9tl8gun6sx7laq0qsjqmmurt6nzwctt,yes,3512704463623
drep1qsf7h3u4qpupup9a400hd2ca9vqvv8p6fssnv4lpkya27fndkwz,yes,11664797067513
drep1rz95fefgxufcjamls4x8a6vnqjd72k624n9sq6fsfvgayqd6r5x,yes,1752418131305
drep1taampxjr7zn0a89ple2yhlc0kr8tr4xqp5xu4v667v2lzac8rz2,yes,260801981570
drep1quc69pf6vfe3jpuwzx4lrgznetn6a83lcpwxdevcfftf7pndqgm,yes,132276035295
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2290199802314
drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,no,124329561697
drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,yes,50917429903
drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,yes,415791134
drep1uygrv5qxyalmdgu0xdjh8ru6juae6426y6048fugyf97g4srzkn,yes,46782871736675
drep1kwquh5nf00lfhxmxafd6y6pgc25fvm0d8xx2rtaymtpjgyjagzn,yes,1440816627189
drep1at8ej9hllmfjms7c5j3xm579qrn7xcn95avesf4s2za22ukhurv,yes,3832087086543
drep1gm78qa2895ynwn4ekdxl678d5qq9cnfarvcxh6d37fhsy50j9vl,yes,69925578165
drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,yes,393803066409331
drep1t8hsjjvqh5lxp9p0ejsdh20wl2a6fc83u0l0asug8yhr6lgc03l,yes,30406766843
drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,yes,334166006703060
drep1lvph5f02spd6zjn9ncchwntjcsgexkpqdd43k76q8f232e0dcru,yes,37863715461
drep1u3rxedper54sd8jfmkudltyhjh7x4y2c0hvj6e3j7j26xqmslxl,yes,635128623159
drep1zprs0z7slm4suzns3zz0u2agqey5tdy08r32s3gtcqtlqye94tw,yes,54619799854
drep1etgpm75kxaxns4umz3q6wjxpq84a28gf6pktjf94nm26vuxrmnn,abstain,21289062469
drep16yrdjg5my5mnfscnzfekjuawz609sqqdu8w7c4jth26yqkxf5l4,yes,259316224238
drep1jemjs67pzdu2f752qxrkcl8hl20yqkmpre46835nngtjxn7xqq6,yes,2403121024
drep1wcq08grlh3hr5ehrj3gjpww666c07c4f2ml0kjh6458v5kzjfcw,yes,767578732719
drep160v90f47eeqscq9aglzh8qxv8plskgxjtj9qgplgsz0kwskskjs,yes,2136212207759
drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,yes,7844360872803
drep1y99u6r8vdexm854trlwt3svysy953tv7e855vs4rxvaqsqehclg,yes,64930877608710
drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5,yes,116374634966
drep1794apaznpyzr2ru4px52804nc90rtjvhqg6p4gvnnjemve07skk,yes,113819484852
drep12zhz3cdfh9a898mpuftxztw4j45c26tnltz72gfr4f5tv7cd4lk,yes,5032830905909
drep1gts2npdk6qyu2cmynyz583qffxnekzpsylz746jmk3epuwtmrhd,yes,3317711606
drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,yes,54704151867936
drep1f8evkhwa3dt68kslhy5uazpr5ukvmydklyu0dzca8fugvul9s3s,yes,744539229063
