drep,vote,amount
drep1axjcgsgh9pc38sg4gnjgv2scpdzu5fjfkmg6pa5g9e5h7dkqusm,yes,941454507769
drep1f8evkhwa3dt68kslhy5uazpr5ukvmydklyu0dzca8fugvul9s3s,yes,732788512806
drep1yqmr09530yuehxdz2wca5setx03ps5tnxxrvzlgwmk3wswugxwh,no,206824628466
drep184j4srn69aaqu00r8gjauqa6neh4w7xwzfzef0shwh3ggkylkee,yes,17413517753
drep1rkkxhukd4q7vtg9tx6cv7gq8mxxrxzrkplljyhusr20t6v7jp44,yes,2383504932020
drep1n6gwr6wsyhawt2lewpssmqqnfu4ss75h0stc25lkpsl2q72gycy,no,68963845941162
drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,yes,9436658612901
drep1cm6mupj0lszffgnfe3t0we7r7c9kwc6lxd4ad7dstf6gggtdqc3,yes,10356840456370
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,no,58059255760630
drep1wp585ps5n2hu8jy5j2cxuap6zzs9zvnnw8g5lru4u0rq2tzhg0p,yes,536855813157
drep1xd68x49k9cxe23gsw3f4lm74c9swynrcc39dvp4tc9lzg9pn6et,yes,555892203320
drep1l0yurnsfze54j5h0k9y8psus48nzc9geqh8sga3k7atngxrvmfl,yes,15856124383815
drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,yes,2579199989792
drep1yn6hlm88yyacdm9lej0n2kp4u9y2m55mnha82ugn46afkspmyfv,yes,2334316105319
drep1h6l2ea5sq7u62v0a4sf3ru4zu7knvwm6px4twp2hvz2azu54xhp,yes,253892831596
drep1esmla69yhjn3yr8f0wzjyya07942pxveer34szw9uqzygjfq3ap,yes,2000708289273
drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,no,5621804026959
drep1mf2kn9pew8jvhar7vfrfa6twadz298qsrevhvw5c5gxc2386fkv,yes,95973894890
drep1lzv2vk9u0l9qahz6zgnmkyv6y5qs8lzaukhstwfrqdf0ywhsfd3,yes,1973999205399
drep13tupcm5xg34kz7hq7cy7f67p2nszl6l0em2fjd4dp5kkgvyg6uw,yes,639139666013
drep1tu9z8p4hmhcylj6mg2tk7ah0xrhg94k74c57ppu608az2n037wa,no,5396251687301
drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,yes,936435541949
drep1uygrv5qxyalmdgu0xdjh8ru6juae6426y6048fugyf97g4srzkn,yes,47212803629691
drep1u05yg5ttgkchzpwly339xrc026x27unxjd6vd7dv7umzj2xns0e,yes,9483015211691
drep18y3ch9fuefgt8ne87k9sjedm2y3pey5lcyzhpqkq02vujxntnxn,yes,15777810047
drep_script1rxdd99vu338y659qfg8nmpemdyhlsmaudgv4m4zdz7m5vz8uzt6,no,3259616978301
drep1rcpsmytwrcsq55vxpmtu3xamve042dzfa09e2q7pxpeh5nzf7s4,abstain,196438817142
drep1a0ezt6thcc3ak54xtrvgennuqqwhs94uw58pflf0sygyxlapnwj,no,8441206630504
drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,yes,64313189827649
drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,yes,4172680149136
drep16d4rhqgfjwe0flcd0wrdczj2tn0fh0xgte0q200ss58uvt96ssh,yes,120225080758
drep1l46t0lcnllnlhya4e2zjvpwvdr07nfd2my3yuaa2azrkj2cw4jl,yes,325590936542
drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,abstain,36570500943628
drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,yes,223073336374388
drep1qufe0rxxke9a6de2jz62ssr9lh7qdd72ywd0wu0tascqvmhpxel,abstain,1105119906761
drep1fcwj52pvrep5luusk0068v3pha84h5758w0tx8hgjr7q7k9e55q,yes,370257249547
drep1j9lhu5vjeetyx5g6caty4z908e47c0jmmd4747x0et7lu4506zv,no,163544312086
drep183kpqfxmxtttuu6jxyug4m4mzn24y6270p5pg7d80530kj4u6m4,no,181771096798
drep1jemjs67pzdu2f752qxrkcl8hl20yqkmpre46835nngtjxn7xqq6,yes,2393386384
drep1zekyxrq5auz5c8gf0p6zehtmfnl7s9q4uqq8m4wkvm4e764u3yw,no,33923638880124
drep1k5zdh24kmcdfnnl50yng9t7n33kq4mfzdetrh3ps2vx07famecw,yes,5438697866604
drep10sac7436zwwrvec4quflqp802wzgl3a8uzq5rx83xvwe223cvnu,no,2585855034400
drep1knfjmx50fh4vsyznaefn4xl49pg9wdy2a463sr457mj5u92jrel,yes,1124346017899
drep197vrvw5thxhux8t9w5lc6lk6etm9cs44n2dav7jhe689u3gy4hs,yes,118879175980
drep10vv3ds52qvgdg240xs0kllrsnvpzwwx9khjgtj49u0lmga5mde2,yes,22584829090
drep1efj8hmm06p550extkumgsc9rs552dvlyrds20fvlsjdvy4wl890,yes,3633612876795
drep1yk4lqv8va8hyhmxhmmr3vlfsja84y09cw03vllpxcqh7qlxdlh4,yes,22460017806924
drep1navsrqral9w6kjy8v9kl0vpmyhzhuytaa65rmdcvnu2eg9jac55,abstain,16958350309046
drep16v76d0z26a2wta75f4lt0mm9t6jq75ua67zqcz58vzk4jh5yuhc,yes,23964676484114
drep1xet3sscmgq2ma7d495h3yxj7uxpmfxq0ja5nspsqaus7k9ugq3t,no,19002544583372
drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,no,51057056713
drep1um8gsqvy3fc08nknz77ttwppgvu73x5lmcvqa8vsjxdz5snfcx0,yes,3389362984961
drep13ws3rjsec7yp858an0h73l4aeeekr77hwz3yd6suwmyr2fzlapq,no,1449469368410
drep1vjwg9fm0h8f0qeg7txujermuzcum8tnxrafpqjj23yr02urhgjy,yes,2558236615475
drep18c6dw0e6z9lx65f22zrzgl0z49j48k39ttxqk4q6h953utzepy5,abstain,24365768946086
drep1assw7l953xsy73ndy9sxmeqwy4yhr3gentgax7lcjynz7qkg5zx,yes,1206846949834
drep1trhk3060j9qdden786jfu3nw8ztwqqy5whruewvxykrnveg78um,yes,315467879063
drep1gcw8ua25n6wswssjap75f5ecg4d4jzdnyrhcfeahep90w240qj5,yes,172574827669
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,989253659304
drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,yes,26527421806301
drep1m56h8sqf90ql45fsr0kwd62u2z3ysfjdwslzrskumd3xv78pujj,yes,36151084257
drep1eg8gqrtjlwls47897a0zsgzwtj0j6q5u6wj32zuj68a3vy68w7c,yes,100166644081
drep16f203ahsan44w8xh65myl2j4k0pf8y9dsqkracyqtvwhy74judz,no,17530066664854
drep1nsrvsnf88cchsc4dzh7kvyn2xqvxn5f7hhenlt8d88gexd2e44q,yes,7752671551
drep1slvssvt0tuxzfm4c5dx0zr6ql6v63a2d90m0m5e330jvjh4vvdt,no,380571762031
drep12wy5ruujw0tef4uxhqd23gae8dqfn0sqh4mxmsxnqpz578tn3m0,abstain,18849403712447
drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,no,56898899846713
drep_script1h95f0wrxasn0fwfajwe8jtjfdw5nd880d073wh2llvxk56p3mq3,abstain,3907169011787
drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,yes,5547700451522
drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38,yes,61821658827743
drep1vavedgh6hdcwyuf8xs8nrm8l05mhsy4fj5vck9qry8rfze8l5fm,no,32352068362
drep19ryvtdugtzffk0l0prd8egy8vfrwh7gjd084kxqvfsr550e3u0c,yes,204196991902
drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,yes,10905755007931
drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx,yes,884573491780
drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,yes,56628106646577
drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,yes,62321385215528
