drep,vote,amount
drep14l69ewnmc5h6uftda9ghs3mw49hdu7w93e9alhzxckp0v5pczql,yes,2579997670457
drep10fcecuw3h3na96627x0s9l2guaycss7n8g3pdqg3x39rgj4l209,yes,23364121427955
drep1l8ztrwklf9jzwq2n6fjqfhjxhfgj58x9cxd6wvnnvp37z8t3utj,yes,515259208376
drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,no,57041128356631
drep1q2e4m6f22mgaw2xnxkdhwpspt47ptqvz3yna0n56l5a9u3ma8jp,yes,14257143
drep15td6lshfws8kezwkts6ysjacashk9y6ldl2v50klr3v8urfg02k,yes,256835293011
drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,yes,430245618078839
drep1m2k6dp66gr83chkff2fr6y76wgta5xx8umstphsrrsw9ylhcfha,yes,579603217533
drep1794apaznpyzr2ru4px52804nc90rtjvhqg6p4gvnnjemve07skk,yes,113889961241
drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,yes,4170679055353
drep1jdxaxuafcx4p4nk4qz4jt2jahds50aea9y0zx7yqrlduulw68zx,yes,1875928496857
drep1kwggxe5nuv93pgvcpzcaeysarctepftskt0ah0j95sjz65wcuez,yes,329767495743
drep19qg34ctllr7lh48nnj4akfc978qzqzuwzkgsdu6r3zc42e5y854,abstain,5662595490564
drep1g2qjfxcxj6ewx3aw0nqh2lfcaq0at3a2wcusxgjmgrnuzph6ddt,yes,276710656638
drep1tu9z8p4hmhcylj6mg2tk7ah0xrhg94k74c57ppu608az2n037wa,no,5394349019758
drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,yes,3288394233295
drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,yes,9360385678074
drep1f8evkhwa3dt68kslhy5uazpr5ukvmydklyu0dzca8fugvul9s3s,yes,742395696599
drep1c6d0mus0edhnugp9z9fd68f7f87w0ft07367duh48ga9sy2a9am,no,291004424587
drep14fs7kawaj8lk03e7595tkw04l5w7q7fypr9cms45p98vs6grces,yes,19168163714920
drep1sa9nnjjy4vkh64ln74zd4yj6dc3njv0sepz9nf4g97ctq8qfjpa,yes,3254195432349
drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,no,9142080096315
drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38,yes,61814098246447
