drep,vote,amount
drep185yt5r9avk7m9zfyx4cuycak9eeksj0w6rfua6t9c4q6k23mz02,yes,89296829803
drep1pldju6te2rttusf9lq52fzjk6vscq6zsl9z3tlskwwwgxz40xcd,no,555374386353
drep1pmy58hz70shnprfexg4z6ykfxnavtv5jdemvvl5yktydzml6wlq,yes,2799656231075
drep1jjx7efq77a0gtx49h9vvtraq9prsp45u5q3qrah6vw7p5t2sx66,yes,3319139859513
drep1gzytparheacgne639a99cgfy9qk3muwc8qzrr2th3czpg87cn35,yes,459131877492
drep1j2q76kng7lmgm60pw7tq5ucesuw59gdkx8lt5z3h50puqnqcxwv,yes,712731414497
drep18g58zce55n90pqhpjm9u00w5ry72wkp9c33algqd8rupums2kmq,yes,604179606608
drep1u4evym9gtkwj7jyz9auuz45xmsfq65rz4uahvd2w9xa6xxnnl39,yes,1463196366176
drep1lrtg6qx8tend00wuxs0eg5mgwxejrcu8s5w6zyk07745xuzqf7a,yes,66342213710773
drep1wp585ps5n2hu8jy5j2cxuap6zzs9zvnnw8g5lru4u0rq2tzhg0p,yes,540165367152
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2290199802314
drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,yes,85992612389507
drep1n0008pjgues7wd8ntj7jg00eqpsaa00jsvla3lxthgxl73z0650,yes,642501403341
drep1trhk3060j9qdden786jfu3nw8ztwqqy5whruewvxykrnveg78um,yes,307949425047
drep1vhzjtaezsrc3f3llde8nyt9gcx6s3akmrl5hxg7xaqs9c379mvw,yes,212296466403
drep17pq0e6f8rx6kgd5sjkatsj24fzkny3ffm54wr885uc2pzftd2ry,yes,1308951425693
drep125s4lx920k0z38fptf2lvtf933kr5udts3ahdh5am0nxzcqwua9,yes,35146532076477
drep1hhnr2v9pvyr8gvd929h8aumnqvaqcvvjdn8ve36qv9mw2jj978x,yes,2212891411
drep1rkkxhukd4q7vtg9tx6cv7gq8mxxrxzrkplljyhusr20t6v7jp44,yes,2381659728772
drep1hvlx2cdu7ql8238dwhrjrncm43q3sl5hlmcmp24p0rcnzcwzcyd,yes,44499286301558
drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,yes,56687904511826
drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,yes,50917429903
drep1axxpl3m4xplxes60rv7cn424xgf5mrz6mh4acamjdctcsjjn8tg,yes,22307564862828
drep1navsrqral9w6kjy8v9kl0vpmyhzhuytaa65rmdcvnu2eg9jac55,yes,16741421092539
drep16d4rhqgfjwe0flcd0wrdczj2tn0fh0xgte0q200ss58uvt96ssh,yes,117400685558
drep1e6cuc37dxye87epzzmcfqs6t32s6ev924jp6aga77jmmvf9va2t,yes,359671169244
drep1m2k6dp66gr83chkff2fr6y76wgta5xx8umstphsrrsw9ylhcfha,yes,579167063183
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,968375458188
drep1a0ezt6thcc3ak54xtrvgennuqqwhs94uw58pflf0sygyxlapnwj,yes,7165547118156
drep1ju2udpph53uuaut4sy6ss46rs9595yeaqnxjsvsms5htkyup4cn,yes,442469459143
drep1dky9vcghd9nycclr5uhduxs2u32zs4lyhxn8z3nyyen7cw3wytj,yes,4634329206260
drep1yeqgjtznp6w6w06aldmymccp9a9vzwsjh0dxljv2d5jqqjfhahy,yes,97903185187
drep1fsu5v5c3wkhemqtw5xn722y5f3ufg644xelwwsxa55z4v8aqpuw,yes,53507754677
drep1k4h4cd5jknvcfeq5uuzqthpl7sdjxrwf9gn25tdk49qxyfhusgm,yes,283249634047
drep1ysy0kzhamk2cvfzrql50unfj9jkk2zffxtaae5zmc39cs3uec6j,no,1341885500983
drep1n4rhu5hvk4d6fv2h6dqc7wvx48mtgc3j7sudzx3nfqpz5cza8a5,yes,233188553611
drep1yk4lqv8va8hyhmxhmmr3vlfsja84y09cw03vllpxcqh7qlxdlh4,yes,22029167978732
drep1lvph5f02spd6zjn9ncchwntjcsgexkpqdd43k76q8f232e0dcru,yes,37863715461
drep14pjm8ytt682wkp4jcegdj2yerkcy9a20xevvp7udlcd0ggjxdud,yes,48248981648155
drep1xfzdeu7mutvla824en2mreg08h97gf0m7q2rcsg7nuspy6k0ysx,yes,396668923442
drep1q2e4m6f22mgaw2xnxkdhwpspt47ptqvz3yna0n56l5a9u3ma8jp,yes,13532947
drep1slvssvt0tuxzfm4c5dx0zr6ql6v63a2d90m0m5e330jvjh4vvdt,yes,380098450075
drep1vlx2m8ymj0eug8g9w0n869r3mtn5k66avkjce2w2qrzx6hx8jje,yes,0
drep1fgj46n9vvfyxg3q0qlcm3a6tf0vvjv9wuhkvrtcm35c0vrtxfky,yes,1180253615673
drep19we4mh7zaxqmyasqgpr7h7hcuq5m6dwpx99j4mrcd3e4ufxuc8n,yes,1898528494219
drep185r8rr6j9evjs984vnr7haf5cn3qw5w220usk23cxffvwuutaz3,yes,225486928125
drep1nm3mpnnvtxvlmqt7lpnskm0clhtm7ngg4pm7qklv42j5qcvhhnw,yes,1040089733517
drep1k0p2sr3pl4ylu86y0dlamae9r9csdsuhfpec2mrgtckkqxph6e8,yes,58131023940283
drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,yes,16257754672804
drep17rksqsgqx8ej3rtc3x4gjm8a44u6w3qcshfm46yc9tq4zeffuzj,yes,4177828675362
drep13lrngcjhwpqdv4hdzgq2j0vdctahcw7fmhzy2dq239dq5xgtv28,yes,5655873195328
drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,yes,183163458560
drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38,yes,61814812675107
drep1nz5796lkhg02luejzc3aec3pdv0tz0s0tg94npxxck7qwayutfs,yes,10308922053127
drep17r90fhh5r7vcx2dxsyj06dtfc5jph8l9k7f0zdqf7z002zj2ckn,yes,42700687106963
drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,yes,43082571951604
drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,yes,115386333165640
drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,yes,31525468054271
drep1w34scjn42tdn5n30pflygwc4hk8htlwcpd9ldkyk4ftvu2dvfw8,yes,59525763056
drep19k6dv4jlxt6sll5gc46d28vpsp8mlmj22y6um8edw93fvac2vuf,yes,25279496294
drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,yes,3295253278991
drep1rz95fefgxufcjamls4x8a6vnqjd72k624n9sq6fsfvgayqd6r5x,yes,1752418131305
drep1yn6hlm88yyacdm9lej0n2kp4u9y2m55mnha82ugn46afkspmyfv,yes,2333345314372
drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,yes,9949594120009
drep14fs7kawaj8lk03e7595tkw04l5w7q7fypr9cms45p98vs6grces,yes,19929349272746
drep1wzr9eclxlhfwld2rjrhrhzm0rmvcchv3fu3zm3zgqnfls6zxgn7,yes,382427899212
drep_script1tjulmrtfl2lu4x9p86r4dj9xw4tmpzec7v826cukmhzfzxns7fy,yes,729572271090
drep17wr7l5am4ffash9qr9sxy6jpz33n4rtss7jsj7fgfjkjk69wkph,yes,33792197438
drep1egcdpv48sektp2sq5y3psve88e6xpd2ve902v24cud8mc2jhxz0,yes,1339159749719
drep1897nvzpn69pmpcgxejzgasre3mztxj7qf2hqs5se9n3p7qdc3yt,yes,56480077117758
drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,yes,7844360872803
drep168a76y8ehsuszd2l26m6ndj5jv6v526ysudv70sdp0nfj54v7pt,yes,1535697729326
