drep,vote,amount
drep1t2vz3lrh2vjxcah2mwdjlcsm9l2kxmqy4lqhnm7tawltsm6rugp,yes,5375557164581
drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,yes,23477894592395
drep1yn6hlm88yyacdm9lej0n2kp4u9y2m55mnha82ugn46afkspmyfv,yes,2336538029134
drep1wp585ps5n2hu8jy5j2cxuap6zzs9zvnnw8g5lru4u0rq2tzhg0p,yes,554364300039
drep17r90fhh5r7vcx2dxsyj06dtfc5jph8l9k7f0zdqf7z002zj2ckn,yes,42205368320082
drep1h6l2ea5sq7u62v0a4sf3ru4zu7knvwm6px4twp2hvz2azu54xhp,yes,252731868173
drep1zxy6uhnrwzhuvnarn7gfa0fpcysn6vcuxwsle6xxrf2vq3xvf38,yes,62331102426128
drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,yes,8062321884720
drep14m432q88dzhj96tfyzvhqk09agk8t05mxgqhqweada8tgagyglj,yes,10036765097
drep1n4rhu5hvk4d6fv2h6dqc7wvx48mtgc3j7sudzx3nfqpz5cza8a5,yes,231209536111
drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,yes,108276134974
drep1c6vahku876gmjqxtwhazf8qd3jjs4pwp4g8mkcmrfy5x67th9gu,yes,2415705800129
drep1gdgxcfaf24rur87f6rjkayn5slf7k0kspmq30nsfff6w23q8qgc,abstain,9361824906174
drep17hhlnktejahetpasuha5k7jp2pd4crxwymwtq4dvu07rw72w49l,yes,1966397174191
drep1s66dp7mlmpvqwqp4xltvzn6q2086whe0n48kwrfrmmyngmuvvhr,yes,56001112233671
drep123yjzps6k4h0uqv0athzm2tayy0fp5j9zp8f8c246d2x2gx0u6f,yes,19122974862
drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,yes,223953524932508
drep1fcwj52pvrep5luusk0068v3pha84h5758w0tx8hgjr7q7k9e55q,yes,496559920510
drep1s3t3tusfmtfxc3vzqvsr9uzkp6809dqfp303thvc0gzzk2x2xjm,no,0
drep158mfwdv7lvqzg0yrdxwhsmkq5406nmvw4yvjyyfcawlwus2eylt,yes,5824572412422
drep1hhnr2v9pvyr8gvd929h8aumnqvaqcvvjdn8ve36qv9mw2jj978x,yes,1106081124
