pool,vote,amount
pool18p7p752cjnf9z8g70ygkre5cstwmgfatzuqm0tm3n2xf739j8k8,yes,1897871630319
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,yes,71411027290820
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,yes,49676989063377
pool18l6lvx95vl5p88zfh7xjkx073s9gufpz4sa5q43fu7auqunjhg3,yes,764820270304
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,yes,3700802826936
pool1f4n4mdsv5ydxuc3y4tzgumqvfa8xxlyr8jl70qquama0ug2pmhf,abstain,32405455523398
pool14hhs6ruwnuaf4fzsmx89mvmjl2qhyy5jnzyk2le03886kj6z9yp,yes,3281213494379
pool1y89sy2e927hvvt66wnukx5xnnrarzxrt55eypttaw3n06u0uam4,yes,1247368469816
pool1la0t0gsskwejyfca5lchw5aqd5g8hknxdu6tuyqp0ttjxl6zt35,yes,719373770434
pool1smy2r8jdvgna5ykhe8rrch7h4qalyfafyzyh0rmanmq0jxptww7,yes,29279239366781
pool1853ffwhtuka742fq4av7s3ssdpvzhdkpw53th3es36zkwrllj9g,yes,9414061389176
pool1pemnlylem2e94xguhd3fytj90848kpv4agvr6rthx2tp58z79ek,yes,19252261838572
pool168t0xlm0dtdgf7d5w2mrm7ulsw4czpw297yvrpke9pmjcc9hz7k,yes,4319284366625
pool1pmm654jfx088td54ekkkd0j28x6r5gnjdhnutzggursrxjnpk2y,yes,56321326180228
pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,yes,70209997008394
pool14f58kf59ec7ymk7mm5w07advfgs6a2guur3g5zyf45uvyvl80t4,yes,99669577748
pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,yes,69740430183638
pool1k7zrx5rw6cvef9m5qtp9sy4e53u93kwqx73ykz7md9gmwgf56yk,yes,10305068475566
pool1g6czdusgxwskqy8evsnxvqkg2a70rpjtv0maauldl5uusmhm94a,yes,146705005
pool1nwfzutmm6et5yt6mdk6d3ls57qfmwje0hwcepr3dn68mu9wl0pd,abstain,9684308128461
pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,yes,34907164209808
pool1sffl322qgsrsmkcedzzwk05396dkmj56pcepqvj6px3n2re3qu4,yes,1077224486316
pool14f0uj8vghxzs09p3rzvhlur0dnfwylxc67whaz087srtjjrcjgd,yes,70584266270
pool1wlmyl6csyc5m9sxezcladq3ttty4hja9mue63dwdh5g7ymucukl,yes,20391379467993
pool1w4am4s9w4gkt8r0245km62vtnnv9hhq6j68exzh2pyaxxfaq0gc,yes,544665650814
pool18me06fpnm53xylyg59n8yvhy3xtvjetra3tan5trrvr6yuvm8pd,yes,151820671485
pool1e4tjrl3ve7dcqwa70pexds6f8llk0txx09gm3r4m472ej4p6473,yes,4581682021732
pool1caulv7s08g0jnptzdc69qycptacu7fzahny2epzh7sh9vhqz6xz,yes,18803719051224
pool1fmcv9p7vv754rwc0p6ud2mgm76vnn0gq0gngrk7rq400vsvhsvs,yes,29095423566437
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,yes,65406031647169
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,yes,74192728150411
pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,yes,59731044154361
pool155efqn9xpcf73pphkk88cmlkdwx4ulkg606tne970qswczg3asc,yes,64330613776420
pool1g5gmej3cj67td4pmvmacnls8nuq0gjld2pwfeg3jwpxujdx6lmu,yes,30030621066529
pool1nh9j5qucsddxkzn3m4dm4gxkhwtpya4wm4e0ye2u0puaqgkcm65,yes,553376639470
pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu,yes,15943163551103
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,yes,64524303602682
pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,yes,70031715260078
pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,yes,70024794363540
pool1qzlwlyu92fsx94qu6u5nw3sy334f5yat3dv3jgx0grrsv0kp422,yes,6273263264824
pool1mxhq6etmemv3pdyycz2kxth3a8gdqnjewxgne67fqwlfgz6f7xa,yes,50502203556581
pool1lvsa8e0dw6z8g2fkw7prnfa7627wuy5jjexaadck6w5sxw5xkvm,yes,49604654170340
pool1wf7wk3802jxtkmek6uprm77cgqx53t4qep9kwkl078w3yw0ff69,yes,25492009149555
pool1tpr44v3pxth9j0ff246dvsryxpanxwx52f024ws3ecvn72sgv55,yes,191207543658
pool13ws3wf9skw0ngg3aze482tdxqsnfmvf4vgy46cux599mxm8n27g,yes,1622443072485
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,yes,72873811844353
pool15d62znf04qymt6ve536tt5y9ky979ly4um5zmgz9m850vu7wuv7,yes,40382813914628
pool1cpr59c88ps8499gtgegr3muhclr7dln35g9a3rqmv4dkxg9n3h8,yes,21689768480074
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,yes,29301304830128
pool1jf4kt5qvyx4plvv7gna2y2f7xsjh3mt2szk2ff23ryd8qg826hj,yes,1190999610368
pool16l9ph0cm42qk4h8wqlka3fw7ws7rvnj5n59xzy8ky4l8gnudugk,yes,123149511902
pool1c2wa8326fulnkq42uerra78pue48pdwsqru2dhp5xrhsgzqmlsc,no,1902467920570
pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,yes,40007066163020
pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,yes,22424209697251
pool1ctzja2cdwyeqnvehmrlclc5wrn9w9acwklk3acn73jrx56d66vs,yes,60493507968798
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,yes,65082308571584
pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj,yes,43599040300159
pool15ftrqf7j80w57leflatx66x00qfhu483a290gmp7q85pjxrf480,yes,3098049485747
pool1g0hsnjnt0du3kp33gjua3npncngr3yg4ak2zfdhd4zvmy6r8hyd,yes,958813378344
pool1pk7cjkcdsawxf25dwml0ely8vhjx7wp7nqans3jwatanceyqae0,yes,3400561326841
pool1g8y2gz4sk7xhyaj469jlj3njyu5dlvqa7t7v9c2gk0yc69879z8,yes,10185795421783
pool1kdfznpenxa9wwcz8tweump45k5h78h8hl4slv78fdypsug9ypc6,yes,3745876895900
pool18gsrasdghtjsnzlf20pht85l4epwag74w9pfx5qvdvcpxw68sl6,yes,35024543745132
pool1ksz6vfc4xqdxyhp06h4n7kckh60370cy2t6m3wfgdxtug7ph4x0,yes,23463665138118
pool1flkcdxj7cq6sfgl4fujx50p20ylqgj02kgwvfj4g5w24s6th8vz,yes,10444462557917
pool10xk8jp4m2cztf69x9gvg3j33x5drkrz2hulsjes29wktcfcxdls,abstain,13855030567458
pool1qv3velgldz529zq904jy9qfrhdh0akwkkhylu2rymd6sw9m02cc,yes,29620216
pool18xmqj9h97tx245mzkz0fqlvas5zse0fzh9xmn9p6z77aj5jegsx,abstain,32393313600207
pool1m3h5p82m6v99nda37rmed8vrkqt43e2a8d89k76gw5ets0gdyag,yes,1137504553976
pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,yes,35022810503587
pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,yes,70029325741765
pool1lqucyxuvjktfmpf7fd28j54cfgamyrxed344vnwlm9wqkwjeqwk,yes,21212792807985
pool1jvknf3dwtnqln5hcjrh5m7s979revuj5dlxr0337nwmm6p7250q,yes,7209159781996
pool1y24nj4qdkg35nvvnfawukauggsxrxuy74876cplmxsee29w5axc,yes,2890323290516
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,yes,56590909298564
pool1newmccddazerzanrdeeelvzk6vzh9stxn5n8ravshqa05n0t83u,yes,2144080896010
pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,yes,21193203711723
pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj,yes,71899831710018
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,yes,54084733146579
pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,yes,62318743014836
pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,yes,70942096040596
